Team Home,Team Away,Ergebnis,Saison,Spieltag,Wochentag,Liga
Eintracht Braunschweig,1. FC Kaiserslautern,1:1,2012,25,Monday,bl2
VfL Wolfsburg,Fortuna Düsseldorf,1:1,2012,26,Friday,bl1
1. FC Nürnberg,FC Schalke 04,3:0,2012,26,Saturday,bl1
Borussia Dortmund,SC Freiburg,5:1,2012,26,Saturday,bl1
TSG Hoffenheim,1. FSV Mainz 05,0:0,2012,26,Saturday,bl1
Hamburger SV,FC Augsburg,0:1,2012,26,Saturday,bl1
SV Werder Bremen,SpVgg Greuther Fürth,2:2,2012,26,Saturday,bl1
Bayer 04 Leverkusen,FC Bayern München,1:2,2012,26,Saturday,bl1
Eintracht Frankfurt,VfB Stuttgart,1:2,2012,26,Sunday,bl1
Borussia Mönchengladbach,Hannover 96,1:0,2012,26,Sunday,bl1
SC Paderborn 07,FSV Frankfurt,3:0,2012,26,Friday,bl2
1. FC Union Berlin,FC St. Pauli,4:2,2012,26,Friday,bl2
MSV Duisburg,Energie Cottbus,2:1,2012,26,Friday,bl2
TSV 1860 München,Hertha BSC,0:0,2012,26,Saturday,bl2
VfL Bochum,Eintracht Braunschweig,0:1,2012,26,Saturday,bl2
1. FC Kaiserslautern,FC Ingolstadt 04,3:0,2012,26,Sunday,bl2
VfR Aalen,SV Sandhausen,2:2,2012,26,Sunday,bl2
Jahn Regensburg,FC Erzgebirge Aue,1:1,2012,26,Sunday,bl2
Dynamo Dresden,1. FC Köln,0:2,2012,26,Monday,bl2
VfB Stuttgart,Borussia Dortmund,1:2,2012,27,Saturday,bl1
SC Freiburg,Borussia Mönchengladbach,2:0,2012,27,Saturday,bl1
Fortuna Düsseldorf,Bayer 04 Leverkusen,1:4,2012,27,Saturday,bl1
FC Augsburg,Hannover 96,0:2,2012,27,Saturday,bl1
1. FSV Mainz 05,SV Werder Bremen,1:1,2012,27,Saturday,bl1
FC Schalke 04,TSG Hoffenheim,3:0,2012,27,Saturday,bl1
FC Bayern München,Hamburger SV,9:2,2012,27,Saturday,bl1
VfL Wolfsburg,1. FC Nürnberg,2:2,2012,27,Sunday,bl1
SpVgg Greuther Fürth,Eintracht Frankfurt,2:3,2012,27,Sunday,bl1
Energie Cottbus,VfR Aalen,1:1,2012,27,Thursday,bl2
FC Erzgebirge Aue,TSV 1860 München,0:1,2012,27,Thursday,bl2
Eintracht Braunschweig,Dynamo Dresden,2:1,2012,27,Thursday,bl2
Hertha BSC,VfL Bochum,2:0,2012,27,Saturday,bl2
FC Ingolstadt 04,MSV Duisburg,0:1,2012,27,Saturday,bl2
1. FC Köln,Jahn Regensburg,2:1,2012,27,Sunday,bl2
FSV Frankfurt,1. FC Union Berlin,3:0,2012,27,Sunday,bl2
SV Sandhausen,1. FC Kaiserslautern,1:1,2012,27,Sunday,bl2
FC St. Pauli,SC Paderborn 07,2:2,2012,27,Monday,bl2
TSG Hoffenheim,Fortuna Düsseldorf,3:0,2012,28,Friday,bl1
Borussia Dortmund,FC Augsburg,4:2,2012,28,Saturday,bl1
Borussia Mönchengladbach,SpVgg Greuther Fürth,1:0,2012,28,Saturday,bl1
Eintracht Frankfurt,FC Bayern München,0:1,2012,28,Saturday,bl1
SV Werder Bremen,FC Schalke 04,0:2,2012,28,Saturday,bl1
Bayer 04 Leverkusen,VfL Wolfsburg,1:1,2012,28,Saturday,bl1
Hamburger SV,SC Freiburg,0:1,2012,28,Saturday,bl1
1. FC Nürnberg,1. FSV Mainz 05,2:1,2012,28,Sunday,bl1
Hannover 96,VfB Stuttgart,0:0,2012,28,Sunday,bl1
1. FC Kaiserslautern,1. FC Köln,3:0,2012,28,Friday,bl2
VfL Bochum,FC Erzgebirge Aue,0:3,2012,28,Friday,bl2
VfR Aalen,FC Ingolstadt 04,2:1,2012,28,Friday,bl2
Dynamo Dresden,FC St. Pauli,3:2,2012,28,Saturday,bl2
Jahn Regensburg,FSV Frankfurt,1:4,2012,28,Saturday,bl2
SC Paderborn 07,1. FC Union Berlin,1:1,2012,28,Sunday,bl2
TSV 1860 München,Energie Cottbus,1:1,2012,28,Sunday,bl2
MSV Duisburg,SV Sandhausen,2:1,2012,28,Sunday,bl2
Hertha BSC,Eintracht Braunschweig,3:0,2012,28,Monday,bl2
SC Freiburg,Hannover 96,3:1,2012,29,Friday,bl1
FC Bayern München,1. FC Nürnberg,4:0,2012,29,Saturday,bl1
VfL Wolfsburg,TSG Hoffenheim,2:2,2012,29,Saturday,bl1
1. FSV Mainz 05,Hamburger SV,1:2,2012,29,Saturday,bl1
SpVgg Greuther Fürth,Borussia Dortmund,1:6,2012,29,Saturday,bl1
Fortuna Düsseldorf,SV Werder Bremen,2:2,2012,29,Saturday,bl1
FC Schalke 04,Bayer 04 Leverkusen,2:2,2012,29,Saturday,bl1
VfB Stuttgart,Borussia Mönchengladbach,2:0,2012,29,Sunday,bl1
FC Augsburg,Eintracht Frankfurt,2:0,2012,29,Sunday,bl1
1. FC Union Berlin,Dynamo Dresden,0:0,2012,29,Friday,bl2
FC Ingolstadt 04,Hertha BSC,1:1,2012,29,Friday,bl2
SV Sandhausen,Eintracht Braunschweig,1:3,2012,29,Friday,bl2
FC St. Pauli,TSV 1860 München,3:1,2012,29,Saturday,bl2
FSV Frankfurt,MSV Duisburg,1:1,2012,29,Saturday,bl2
1. FC Köln,VfR Aalen,1:0,2012,29,Sunday,bl2
SC Paderborn 07,Jahn Regensburg,0:0,2012,29,Sunday,bl2
Energie Cottbus,VfL Bochum,0:2,2012,29,Sunday,bl2
FC Erzgebirge Aue,1. FC Kaiserslautern,1:1,2012,29,Monday,bl2
Borussia Mönchengladbach,FC Augsburg,1:0,2012,30,Friday,bl1
Borussia Dortmund,1. FSV Mainz 05,2:0,2012,30,Saturday,bl1
Hannover 96,FC Bayern München,1:6,2012,30,Saturday,bl1
Hamburger SV,Fortuna Düsseldorf,2:1,2012,30,Saturday,bl1
Eintracht Frankfurt,FC Schalke 04,1:0,2012,30,Saturday,bl1
Bayer 04 Leverkusen,TSG Hoffenheim,5:0,2012,30,Saturday,bl1
SV Werder Bremen,VfL Wolfsburg,0:3,2012,30,Saturday,bl1
VfB Stuttgart,SC Freiburg,2:1,2012,30,Sunday,bl1
1. FC Nürnberg,SpVgg Greuther Fürth,0:1,2012,30,Sunday,bl1
VfL Bochum,FC St. Pauli,3:0,2012,30,Friday,bl2
VfR Aalen,1. FC Union Berlin,3:0,2012,30,Friday,bl2
Jahn Regensburg,FC Ingolstadt 04,1:2,2012,30,Friday,bl2
1. FC Kaiserslautern,SC Paderborn 07,3:0,2012,30,Saturday,bl2
TSV 1860 München,FSV Frankfurt,1:2,2012,30,Saturday,bl2
Hertha BSC,SV Sandhausen,1:0,2012,30,Sunday,bl2
Eintracht Braunschweig,FC Erzgebirge Aue,1:1,2012,30,Sunday,bl2
Dynamo Dresden,Energie Cottbus,1:0,2012,30,Sunday,bl2
MSV Duisburg,1. FC Köln,1:1,2012,30,Monday,bl2
SpVgg Greuther Fürth,Hannover 96,2:3,2012,31,Friday,bl1
Bayer 04 Leverkusen,SV Werder Bremen,1:0,2012,31,Saturday,bl1
TSG Hoffenheim,1. FC Nürnberg,2:1,2012,31,Saturday,bl1
FC Bayern München,SC Freiburg,1:0,2012,31,Saturday,bl1
VfL Wolfsburg,Borussia Mönchengladbach,3:1,2012,31,Saturday,bl1
FC Augsburg,VfB Stuttgart,3:0,2012,31,Saturday,bl1
Fortuna Düsseldorf,Borussia Dortmund,1:2,2012,31,Saturday,bl1
1. FSV Mainz 05,Eintracht Frankfurt,0:0,2012,31,Sunday,bl1
FC Schalke 04,Hamburger SV,4:1,2012,31,Sunday,bl1
1. FC Union Berlin,Jahn Regensburg,1:0,2012,31,Friday,bl2
FC Ingolstadt 04,Eintracht Braunschweig,0:1,2012,31,Friday,bl2
SV Sandhausen,VfL Bochum,0:1,2012,31,Friday,bl2
FSV Frankfurt,Dynamo Dresden,3:1,2012,31,Saturday,bl2
FC Erzgebirge Aue,MSV Duisburg,0:0,2012,31,Saturday,bl2
1. FC Köln,TSV 1860 München,1:1,2012,31,Sunday,bl2
FC St. Pauli,Hertha BSC,2:3,2012,31,Sunday,bl2
SC Paderborn 07,VfR Aalen,2:2,2012,31,Sunday,bl2
Energie Cottbus,1. FC Kaiserslautern,4:2,2012,31,Monday,bl2
Borussia Mönchengladbach,FC Schalke 04,0:1,2012,32,Friday,bl1
1. FC Nürnberg,Bayer 04 Leverkusen,0:2,2012,32,Saturday,bl1
SV Werder Bremen,TSG Hoffenheim,2:2,2012,32,Saturday,bl1
Hannover 96,1. FSV Mainz 05,2:2,2012,32,Saturday,bl1
VfB Stuttgart,SpVgg Greuther Fürth,0:2,2012,32,Saturday,bl1
Eintracht Frankfurt,Fortuna Düsseldorf,3:1,2012,32,Saturday,bl1
Borussia Dortmund,FC Bayern München,1:1,2012,32,Saturday,bl1
SC Freiburg,FC Augsburg,2:0,2012,32,Sunday,bl1
Hamburger SV,VfL Wolfsburg,1:1,2012,32,Sunday,bl1
Hertha BSC,FC Erzgebirge Aue,3:2,2012,32,Friday,bl2
Dynamo Dresden,SC Paderborn 07,2:1,2012,32,Friday,bl2
VfR Aalen,Jahn Regensburg,2:1,2012,32,Friday,bl2
VfL Bochum,1. FC Köln,2:1,2012,32,Saturday,bl2
SV Sandhausen,FC Ingolstadt 04,3:1,2012,32,Saturday,bl2
1. FC Kaiserslautern,FSV Frankfurt,4:1,2012,32,Sunday,bl2
TSV 1860 München,1. FC Union Berlin,3:0,2012,32,Sunday,bl2
MSV Duisburg,FC St. Pauli,0:0,2012,32,Sunday,bl2
Eintracht Braunschweig,Energie Cottbus,0:0,2012,32,Monday,bl2
1. FSV Mainz 05,Borussia Mönchengladbach,2:4,2012,33,Saturday,bl1
FC Schalke 04,VfB Stuttgart,1:2,2012,33,Saturday,bl1
Bayer 04 Leverkusen,Hannover 96,3:1,2012,33,Saturday,bl1
Fortuna Düsseldorf,1. FC Nürnberg,1:2,2012,33,Saturday,bl1
SpVgg Greuther Fürth,SC Freiburg,1:2,2012,33,Saturday,bl1
FC Bayern München,FC Augsburg,3:0,2012,33,Saturday,bl1
TSG Hoffenheim,Hamburger SV,1:4,2012,33,Saturday,bl1
VfL Wolfsburg,Borussia Dortmund,3:3,2012,33,Saturday,bl1
SV Werder Bremen,Eintracht Frankfurt,1:1,2012,33,Saturday,bl1
1. FC Köln,Hertha BSC,1:2,2012,33,Sunday,bl2
FC St. Pauli,Eintracht Braunschweig,5:1,2012,33,Sunday,bl2
SC Paderborn 07,TSV 1860 München,2:0,2012,33,Sunday,bl2
1. FC Union Berlin,MSV Duisburg,2:1,2012,33,Sunday,bl2
FSV Frankfurt,VfL Bochum,2:1,2012,33,Sunday,bl2
Energie Cottbus,SV Sandhausen,3:0,2012,33,Sunday,bl2
FC Erzgebirge Aue,FC Ingolstadt 04,0:1,2012,33,Sunday,bl2
VfR Aalen,Dynamo Dresden,3:0,2012,33,Sunday,bl2
Jahn Regensburg,1. FC Kaiserslautern,1:3,2012,33,Sunday,bl2
Borussia Mönchengladbach,FC Bayern München,3:4,2012,34,Saturday,bl1
Hannover 96,Fortuna Düsseldorf,3:0,2012,34,Saturday,bl1
SC Freiburg,FC Schalke 04,1:2,2012,34,Saturday,bl1
Hamburger SV,Bayer 04 Leverkusen,0:1,2012,34,Saturday,bl1
Eintracht Frankfurt,VfL Wolfsburg,2:2,2012,34,Saturday,bl1
1. FC Nürnberg,SV Werder Bremen,3:2,2012,34,Saturday,bl1
Borussia Dortmund,TSG Hoffenheim,1:2,2012,34,Saturday,bl1
VfB Stuttgart,1. FSV Mainz 05,2:2,2012,34,Saturday,bl1
FC Augsburg,SpVgg Greuther Fürth,3:1,2012,34,Saturday,bl1
Hertha BSC,Energie Cottbus,1:1,2012,34,Sunday,bl2
1. FC Kaiserslautern,FC St. Pauli,1:2,2012,34,Sunday,bl2
TSV 1860 München,VfR Aalen,3:0,2012,34,Sunday,bl2
Eintracht Braunschweig,FSV Frankfurt,2:2,2012,34,Sunday,bl2
Dynamo Dresden,Jahn Regensburg,3:1,2012,34,Sunday,bl2
MSV Duisburg,SC Paderborn 07,3:2,2012,34,Sunday,bl2
VfL Bochum,1. FC Union Berlin,1:2,2012,34,Sunday,bl2
FC Ingolstadt 04,1. FC Köln,0:3,2012,34,Sunday,bl2
SV Sandhausen,FC Erzgebirge Aue,0:1,2012,34,Sunday,bl2
FC Bayern München,Borussia Mönchengladbach,3:1,2013,1,Friday,bl1
Bayer 04 Leverkusen,SC Freiburg,3:1,2013,1,Saturday,bl1
Hannover 96,VfL Wolfsburg,2:0,2013,1,Saturday,bl1
TSG 1899 Hoffenheim,1. FC Nürnberg,2:2,2013,1,Saturday,bl1
FC Augsburg,Borussia Dortmund,0:4,2013,1,Saturday,bl1
Hertha BSC,Eintracht Frankfurt,6:1,2013,1,Saturday,bl1
Eintracht Braunschweig,SV Werder Bremen,0:1,2013,1,Saturday,bl1
1. FSV Mainz 05,VfB Stuttgart,3:2,2013,1,Sunday,bl1
FC Schalke 04,Hamburger SV,3:3,2013,1,Sunday,bl1
SV Sandhausen,VfR Aalen,0:0,2013,1,Friday,bl2
FC Ingolstadt 04,FC Erzgebirge Aue,1:2,2013,1,Friday,bl2
FC St. Pauli,TSV 1860 München,1:0,2013,1,Friday,bl2
SC Paderborn 07,1. FC Kaiserslautern,0:1,2013,1,Saturday,bl2
Dynamo Dresden,1. FC Köln,1:1,2013,1,Saturday,bl2
SpVgg Greuther Fürth,Arminia Bielefeld,2:0,2013,1,Sunday,bl2
FSV Frankfurt,Karlsruher SC,0:1,2013,1,Sunday,bl2
1. FC Union Berlin,VfL Bochum,1:2,2013,1,Sunday,bl2
Fortuna Düsseldorf,Energie Cottbus,1:0,2013,1,Monday,bl2
VfB Stuttgart,Bayer 04 Leverkusen,0:1,2013,2,Saturday,bl1
VfL Wolfsburg,FC Schalke 04,4:0,2013,2,Saturday,bl1
SV Werder Bremen,FC Augsburg,1:0,2013,2,Saturday,bl1
SC Freiburg,1. FSV Mainz 05,1:2,2013,2,Saturday,bl1
Hamburger SV,TSG 1899 Hoffenheim,1:5,2013,2,Saturday,bl1
Eintracht Frankfurt,FC Bayern München,0:1,2013,2,Saturday,bl1
Borussia Mönchengladbach,Hannover 96,3:0,2013,2,Saturday,bl1
1. FC Nürnberg,Hertha BSC,2:2,2013,2,Sunday,bl1
Borussia Dortmund,Eintracht Braunschweig,2:1,2013,2,Sunday,bl1
VfR Aalen,SpVgg Greuther Fürth,0:2,2013,2,Friday,bl2
Arminia Bielefeld,1. FC Union Berlin,1:1,2013,2,Friday,bl2
1. FC Kaiserslautern,FC Ingolstadt 04,3:1,2013,2,Friday,bl2
FC Erzgebirge Aue,SV Sandhausen,1:0,2013,2,Saturday,bl2
Karlsruher SC,FC St. Pauli,0:0,2013,2,Saturday,bl2
TSV 1860 München,FSV Frankfurt,2:1,2013,2,Sunday,bl2
Energie Cottbus,SC Paderborn 07,4:0,2013,2,Sunday,bl2
1. FC Köln,Fortuna Düsseldorf,1:1,2013,2,Sunday,bl2
VfL Bochum,Dynamo Dresden,1:1,2013,2,Monday,bl2
Borussia Dortmund,SV Werder Bremen,1:0,2013,3,Friday,bl1
FC Bayern München,1. FC Nürnberg,2:0,2013,3,Saturday,bl1
Bayer 04 Leverkusen,Borussia Mönchengladbach,4:2,2013,3,Saturday,bl1
Hannover 96,FC Schalke 04,2:1,2013,3,Saturday,bl1
TSG 1899 Hoffenheim,SC Freiburg,3:3,2013,3,Saturday,bl1
1. FSV Mainz 05,VfL Wolfsburg,2:0,2013,3,Saturday,bl1
Hertha BSC,Hamburger SV,1:0,2013,3,Saturday,bl1
Eintracht Braunschweig,Eintracht Frankfurt,0:2,2013,3,Sunday,bl1
FC Augsburg,VfB Stuttgart,2:1,2013,3,Sunday,bl1
Fortuna Düsseldorf,TSV 1860 München,1:2,2013,3,Friday,bl2
FSV Frankfurt,VfL Bochum,1:0,2013,3,Friday,bl2
Dynamo Dresden,1. FC Union Berlin,1:3,2013,3,Friday,bl2
SC Paderborn 07,1. FC Köln,1:1,2013,3,Saturday,bl2
FC Ingolstadt 04,Karlsruher SC,0:2,2013,3,Saturday,bl2
FC St. Pauli,Arminia Bielefeld,0:1,2013,3,Sunday,bl2
SV Sandhausen,Energie Cottbus,2:2,2013,3,Sunday,bl2
FC Erzgebirge Aue,VfR Aalen,0:1,2013,3,Sunday,bl2
SpVgg Greuther Fürth,1. FC Kaiserslautern,2:1,2013,3,Monday,bl2
SC Freiburg,FC Bayern München,1:1,2013,4,Tuesday,bl1
Borussia Mönchengladbach,SV Werder Bremen,4:1,2013,4,Saturday,bl1
Hannover 96,1. FSV Mainz 05,4:1,2013,4,Saturday,bl1
VfL Wolfsburg,Hertha BSC,2:0,2013,4,Saturday,bl1
1. FC Nürnberg,FC Augsburg,0:1,2013,4,Saturday,bl1
Hamburger SV,Eintracht Braunschweig,4:0,2013,4,Saturday,bl1
FC Schalke 04,Bayer 04 Leverkusen,2:0,2013,4,Saturday,bl1
VfB Stuttgart,TSG 1899 Hoffenheim,6:2,2013,4,Sunday,bl1
Eintracht Frankfurt,Borussia Dortmund,1:2,2013,4,Sunday,bl1
Karlsruher SC,SpVgg Greuther Fürth,1:2,2013,4,Friday,bl2
Arminia Bielefeld,SC Paderborn 07,3:3,2013,4,Friday,bl2
VfL Bochum,FC St. Pauli,2:2,2013,4,Friday,bl2
1. FC Kaiserslautern,FC Erzgebirge Aue,2:1,2013,4,Saturday,bl2
1. FC Köln,SV Sandhausen,2:0,2013,4,Saturday,bl2
TSV 1860 München,FC Ingolstadt 04,1:0,2013,4,Sunday,bl2
Energie Cottbus,VfR Aalen,5:1,2013,4,Sunday,bl2
Dynamo Dresden,FSV Frankfurt,0:3,2013,4,Sunday,bl2
1. FC Union Berlin,Fortuna Düsseldorf,2:1,2013,4,Monday,bl2
Hertha BSC,VfB Stuttgart,0:1,2013,5,Friday,bl1
FC Bayern München,Hannover 96,2:0,2013,5,Saturday,bl1
Bayer 04 Leverkusen,VfL Wolfsburg,3:1,2013,5,Saturday,bl1
SV Werder Bremen,Eintracht Frankfurt,0:3,2013,5,Saturday,bl1
1. FSV Mainz 05,FC Schalke 04,0:1,2013,5,Saturday,bl1
FC Augsburg,SC Freiburg,2:1,2013,5,Saturday,bl1
Borussia Dortmund,Hamburger SV,6:2,2013,5,Saturday,bl1
TSG 1899 Hoffenheim,Borussia Mönchengladbach,2:1,2013,5,Sunday,bl1
Eintracht Braunschweig,1. FC Nürnberg,1:1,2013,5,Sunday,bl1
SV Sandhausen,Karlsruher SC,1:1,2013,5,Friday,bl2
FC Ingolstadt 04,Arminia Bielefeld,3:2,2013,5,Friday,bl2
FC Erzgebirge Aue,Energie Cottbus,2:1,2013,5,Friday,bl2
SpVgg Greuther Fürth,1. FC Köln,0:0,2013,5,Saturday,bl2
VfR Aalen,1. FC Kaiserslautern,4:0,2013,5,Saturday,bl2
Fortuna Düsseldorf,VfL Bochum,1:0,2013,5,Sunday,bl2
FSV Frankfurt,1. FC Union Berlin,1:1,2013,5,Sunday,bl2
SC Paderborn 07,TSV 1860 München,1:0,2013,5,Sunday,bl2
FC St. Pauli,Dynamo Dresden,2:1,2013,5,Monday,bl2
Borussia Mönchengladbach,Eintracht Braunschweig,4:1,2013,6,Friday,bl1
Hannover 96,FC Augsburg,2:1,2013,6,Saturday,bl1
VfL Wolfsburg,TSG 1899 Hoffenheim,2:1,2013,6,Saturday,bl1
1. FC Nürnberg,Borussia Dortmund,1:1,2013,6,Saturday,bl1
1. FSV Mainz 05,Bayer 04 Leverkusen,1:4,2013,6,Saturday,bl1
Hamburger SV,SV Werder Bremen,0:2,2013,6,Saturday,bl1
FC Schalke 04,FC Bayern München,0:4,2013,6,Saturday,bl1
SC Freiburg,Hertha BSC,1:1,2013,6,Sunday,bl1
VfB Stuttgart,Eintracht Frankfurt,1:1,2013,6,Sunday,bl1
FSV Frankfurt,SpVgg Greuther Fürth,1:1,2013,6,Friday,bl2
TSV 1860 München,SV Sandhausen,0:2,2013,6,Friday,bl2
Arminia Bielefeld,Fortuna Düsseldorf,4:2,2013,6,Friday,bl2
1. FC Union Berlin,FC St. Pauli,3:2,2013,6,Saturday,bl2
VfL Bochum,SC Paderborn 07,4:2,2013,6,Saturday,bl2
1. FC Köln,FC Erzgebirge Aue,4:1,2013,6,Sunday,bl2
Dynamo Dresden,FC Ingolstadt 04,1:1,2013,6,Sunday,bl2
Karlsruher SC,VfR Aalen,1:1,2013,6,Sunday,bl2
1. FC Kaiserslautern,Energie Cottbus,2:2,2013,6,Monday,bl2
FC Augsburg,Borussia Mönchengladbach,2:2,2013,7,Friday,bl1
Borussia Dortmund,SC Freiburg,5:0,2013,7,Saturday,bl1
FC Bayern München,VfL Wolfsburg,1:0,2013,7,Saturday,bl1
Bayer 04 Leverkusen,Hannover 96,2:0,2013,7,Saturday,bl1
TSG 1899 Hoffenheim,FC Schalke 04,3:3,2013,7,Saturday,bl1
Hertha BSC,1. FSV Mainz 05,3:1,2013,7,Saturday,bl1
Eintracht Frankfurt,Hamburger SV,2:2,2013,7,Saturday,bl1
SV Werder Bremen,1. FC Nürnberg,3:3,2013,7,Sunday,bl1
Eintracht Braunschweig,VfB Stuttgart,0:4,2013,7,Sunday,bl1
VfR Aalen,TSV 1860 München,0:0,2013,7,Friday,bl2
SC Paderborn 07,Karlsruher SC,1:0,2013,7,Friday,bl2
FC Erzgebirge Aue,Arminia Bielefeld,0:2,2013,7,Friday,bl2
FC St. Pauli,FSV Frankfurt,2:1,2013,7,Saturday,bl2
SV Sandhausen,1. FC Kaiserslautern,1:0,2013,7,Saturday,bl2
Fortuna Düsseldorf,Dynamo Dresden,1:1,2013,7,Sunday,bl2
SpVgg Greuther Fürth,VfL Bochum,0:2,2013,7,Sunday,bl2
FC Ingolstadt 04,1. FC Union Berlin,0:1,2013,7,Sunday,bl2
Energie Cottbus,1. FC Köln,0:4,2013,7,Monday,bl2
Hannover 96,Hertha BSC,1:1,2013,8,Friday,bl1
FC Schalke 04,FC Augsburg,4:1,2013,8,Saturday,bl1
Borussia Mönchengladbach,Borussia Dortmund,2:0,2013,8,Saturday,bl1
VfB Stuttgart,SV Werder Bremen,1:1,2013,8,Saturday,bl1
VfL Wolfsburg,Eintracht Braunschweig,0:2,2013,8,Saturday,bl1
1. FSV Mainz 05,TSG 1899 Hoffenheim,2:2,2013,8,Saturday,bl1
Bayer 04 Leverkusen,FC Bayern München,1:1,2013,8,Saturday,bl1
1. FC Nürnberg,Hamburger SV,0:5,2013,8,Sunday,bl1
SC Freiburg,Eintracht Frankfurt,1:1,2013,8,Sunday,bl1
1. FC Köln,1. FC Kaiserslautern,0:0,2013,8,Friday,bl2
1. FC Union Berlin,SpVgg Greuther Fürth,2:4,2013,8,Friday,bl2
Karlsruher SC,Energie Cottbus,2:0,2013,8,Friday,bl2
TSV 1860 München,FC Erzgebirge Aue,3:1,2013,8,Saturday,bl2
VfL Bochum,VfR Aalen,1:2,2013,8,Saturday,bl2
FSV Frankfurt,FC Ingolstadt 04,4:1,2013,8,Sunday,bl2
Dynamo Dresden,SC Paderborn 07,2:2,2013,8,Sunday,bl2
Arminia Bielefeld,SV Sandhausen,2:1,2013,8,Sunday,bl2
FC St. Pauli,Fortuna Düsseldorf,1:1,2013,8,Monday,bl2
TSG 1899 Hoffenheim,Bayer 04 Leverkusen,1:2,2013,9,Friday,bl1
Borussia Dortmund,Hannover 96,1:0,2013,9,Saturday,bl1
FC Bayern München,1. FSV Mainz 05,4:1,2013,9,Saturday,bl1
SV Werder Bremen,SC Freiburg,0:0,2013,9,Saturday,bl1
Eintracht Braunschweig,FC Schalke 04,2:3,2013,9,Saturday,bl1
Eintracht Frankfurt,1. FC Nürnberg,1:1,2013,9,Saturday,bl1
Hertha BSC,Borussia Mönchengladbach,1:0,2013,9,Saturday,bl1
Hamburger SV,VfB Stuttgart,3:3,2013,9,Sunday,bl1
FC Augsburg,VfL Wolfsburg,1:2,2013,9,Sunday,bl1
Energie Cottbus,Arminia Bielefeld,4:2,2013,9,Friday,bl2
VfR Aalen,1. FC Köln,0:1,2013,9,Friday,bl2
FC Erzgebirge Aue,Karlsruher SC,3:0,2013,9,Friday,bl2
Fortuna Düsseldorf,FSV Frankfurt,0:0,2013,9,Saturday,bl2
SC Paderborn 07,1. FC Union Berlin,0:3,2013,9,Saturday,bl2
1. FC Kaiserslautern,TSV 1860 München,3:0,2013,9,Sunday,bl2
SV Sandhausen,VfL Bochum,1:0,2013,9,Sunday,bl2
FC Ingolstadt 04,FC St. Pauli,1:2,2013,9,Sunday,bl2
SpVgg Greuther Fürth,Dynamo Dresden,4:0,2013,9,Monday,bl2
VfB Stuttgart,1. FC Nürnberg,1:1,2013,10,Friday,bl1
FC Bayern München,Hertha BSC,3:2,2013,10,Saturday,bl1
FC Schalke 04,Borussia Dortmund,1:3,2013,10,Saturday,bl1
Bayer 04 Leverkusen,FC Augsburg,2:1,2013,10,Saturday,bl1
Hannover 96,TSG 1899 Hoffenheim,1:4,2013,10,Saturday,bl1
1. FSV Mainz 05,Eintracht Braunschweig,2:0,2013,10,Saturday,bl1
VfL Wolfsburg,SV Werder Bremen,3:0,2013,10,Saturday,bl1
SC Freiburg,Hamburger SV,0:3,2013,10,Sunday,bl1
Borussia Mönchengladbach,Eintracht Frankfurt,4:1,2013,10,Sunday,bl1
1. FC Union Berlin,SV Sandhausen,3:0,2013,10,Friday,bl2
FC St. Pauli,SC Paderborn 07,1:2,2013,10,Friday,bl2
Arminia Bielefeld,1. FC Kaiserslautern,0:3,2013,10,Friday,bl2
Dynamo Dresden,VfR Aalen,2:0,2013,10,Saturday,bl2
Karlsruher SC,1. FC Köln,1:2,2013,10,Saturday,bl2
FSV Frankfurt,FC Erzgebirge Aue,3:1,2013,10,Sunday,bl2
TSV 1860 München,Energie Cottbus,0:0,2013,10,Sunday,bl2
VfL Bochum,FC Ingolstadt 04,0:1,2013,10,Sunday,bl2
Fortuna Düsseldorf,SpVgg Greuther Fürth,2:1,2013,10,Monday,bl2
Borussia Dortmund,VfB Stuttgart,6:1,2013,11,Friday,bl1
1. FC Nürnberg,SC Freiburg,0:3,2013,11,Saturday,bl1
TSG 1899 Hoffenheim,FC Bayern München,1:2,2013,11,Saturday,bl1
Hamburger SV,Borussia Mönchengladbach,0:2,2013,11,Saturday,bl1
Eintracht Braunschweig,Bayer 04 Leverkusen,1:0,2013,11,Saturday,bl1
Hertha BSC,FC Schalke 04,0:2,2013,11,Saturday,bl1
Eintracht Frankfurt,VfL Wolfsburg,1:2,2013,11,Saturday,bl1
FC Augsburg,1. FSV Mainz 05,2:1,2013,11,Sunday,bl1
SV Werder Bremen,Hannover 96,3:2,2013,11,Sunday,bl1
Energie Cottbus,1. FC Union Berlin,0:0,2013,11,Friday,bl2
VfR Aalen,Arminia Bielefeld,3:0,2013,11,Friday,bl2
SC Paderborn 07,FSV Frankfurt,4:2,2013,11,Friday,bl2
SV Sandhausen,Dynamo Dresden,0:0,2013,11,Saturday,bl2
FC Erzgebirge Aue,VfL Bochum,2:1,2013,11,Saturday,bl2
SpVgg Greuther Fürth,FC St. Pauli,2:4,2013,11,Sunday,bl2
1. FC Kaiserslautern,Karlsruher SC,2:2,2013,11,Sunday,bl2
FC Ingolstadt 04,Fortuna Düsseldorf,1:2,2013,11,Sunday,bl2
1. FC Köln,TSV 1860 München,0:0,2013,11,Monday,bl2
Hannover 96,Eintracht Braunschweig,0:0,2013,12,Friday,bl1
FC Bayern München,FC Augsburg,3:0,2013,12,Saturday,bl1
FC Schalke 04,SV Werder Bremen,3:1,2013,12,Saturday,bl1
